wikidata_item,city,longitude,latitude,date,population,continent,country,year
Q985531,Tulkarm,35.030833333,32.311111111,-45000-01-01T00:00:00Z,89759,Asia,State of Palestine,-10000
Q5687,Jericho,35.463055555,31.856111111,-9600-01-01T00:00:00Z,23220,Asia,State of Palestine,-9600
Q1524,Athens,23.728055555,37.984166666,-7000-01-01T00:00:00Z,643452,Europe,Greece,-7000
Q41183,Aleppo,37.16,36.2,-5000-01-01T00:00:00Z,2003671,Asia,Syria,-5000
Q11360899,Anantnag,75.15,33.73,-5000-01-01T00:00:00Z,108505,Asia,India,-5000
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Israel,-4000
Q180522,Aqaba,35.0,29.516666666,-3999-01-01T00:00:00Z,140000,Asia,Jordan,-3999
Q152368,Beit She'an,35.498888888,32.496111111,-3999-01-01T00:00:00Z,18200,Asia,Israel,-3999
Q75621,Salamiyah,37.053055555,35.011111111,-3499-01-01T00:00:00Z,110683,Asia,Syria,-3499
Q68286,Horgen,8.5975,47.260833333,-3399-01-01T00:00:00Z,23319,Europe,Switzerland,-3399
Q29962,Asyut,31.171388888,27.186944444,-3099-01-01T00:00:00Z,389307,Africa,Egypt,-3099
Q460736,Amedi,43.487,37.0919,-3000-01-01T00:00:00Z,11000,Asia,Iraq,-3000
Q926426,Kozan,35.812347222,37.4507,-2999-01-01T00:00:00Z,130495,Asia,Turkey,-2999
Q214495,Bamyan,67.816666666,34.816666666,-2799-01-01T00:00:00Z,100000,Asia,Afghanistan,-2799
Q82070,Tyre,35.2,33.266666666,-2749-01-01T00:00:00Z,160000,Asia,Lebanon,-2749
Q430776,Nazareth,35.29785,32.702102777,-2199-01-01T00:00:00Z,83400,Asia,Israel,-2199
Q2884439,Bareq,41.9438889,18.9322222,-1999-01-01T00:00:00Z,75351,Asia,Saudi Arabia,-1999
Q131301,Homs,36.716666666,34.733333333,-1999-01-01T00:00:00Z,775404,Asia,Syria,-1999
Q27174,Najran,44.1322,17.4917,-1999-01-01T00:00:00Z,298288,Asia,Saudi Arabia,-1999
Q12258,Sabadell,2.1075,41.548333333,-1799-01-01T00:00:00Z,218300,Europe,Spain,-1799
Q43048,Rhodes,27.92,36.17,-1600-01-01T00:00:00Z,115490,Asia,Greece,-1600
Q47492,Gaza City,34.45,31.516666666,-1500-01-01T00:00:00Z,590481,Asia,State of Palestine,-1500
Q230104,Nakhchivan,45.412222222,39.208888888,-1499-01-01T00:00:00Z,95100,Asia,Azerbaijan,-1499
Q126084,Acre,35.083888888,32.926111111,-1499-01-01T00:00:00Z,48900,Asia,Israel,-1499
Q244232,Tabuk,36.578888888,28.397222222,-1499-01-01T00:00:00Z,886036,Asia,Saudi Arabia,-1499
Q194165,Irbid,35.85,32.555555555,-1399-01-01T00:00:00Z,1911600,Asia,Jordan,-1399
Q617,Padua,11.877777777,45.406388888,-1182-01-01T00:00:00Z,206496,Europe,Italy,-1182
Q60956,Ashkelon,34.566388888,31.665833333,-0949-01-01T00:00:00Z,134454,Asia,Israel,-949
Q13378,Arezzo,11.878055555,43.463055555,-0900-01-01T00:00:00Z,96260,Europe,Italy,-900
Q35484,Medina,39.61,24.47,-0900-01-01T00:00:00Z,1411599,Asia,Saudi Arabia,-900
Q748832,Chios,26.1375,38.3725,-0899-01-01T00:00:00Z,27015,Europe,Greece,-899
Q13666,Messina,15.554166666,38.193611111,-0800-01-01T00:00:00Z,218786,Europe,Italy,-800
Q8471,Reggio Calabria,15.65,38.114438888,-0800-01-01T00:00:00Z,170951,Europe,Italy,-800
Q1953,Yerevan,44.514444444,40.181388888,-0781-01-01T00:00:00Z,1052754,Asia,Armenia,-781
Q220,Rome,12.482777777,41.893055555,-0752-04-13T00:00:00Z,2748109,Europe,Italy,-752
Q13670,Syracuse,15.2875,37.069166666,-0732-01-01T00:00:00Z,116244,Europe,Italy,-732
Q6681,Crotone,17.116666666,39.083333333,-0709-01-01T00:00:00Z,58445,Europe,Italy,-709
Q13498,Taranto,17.243055555,40.471111111,-0705-01-01T00:00:00Z,188098,Europe,Italy,-705
Q569766,Shahrisabz,66.833333333,39.05,-0700-01-01T00:00:00Z,100300,Asia,Uzbekistan,-700
Q1143233,Olbia,31.9,46.7,-0700-01-01T00:00:00Z,15000,Europe,Ukraine,-700
Q79857,Konya,32.492138888,37.872769444,-0699-01-01T00:00:00Z,2232374,Asia,Turkey,-699
Q157065,Kerch,36.468055555,45.338611111,-0609-01-01T00:00:00Z,174365,Europe,Russia,-609
Q3579,Tripoli,13.18746,32.87519,-0601-01-01T00:00:00Z,1293016,Africa,Libya,-601
Q158491,Feodosiia,35.379166666,45.048888888,-0600-01-01T00:00:00Z,86400,Europe,Ukraine,-600
Q43332,Pompeii,14.489722,40.750556,-0600-01-01T00:00:00Z,0,Europe,Italy,-600
Q1169725,Doriskos,26.11805556,40.86694444,-0600-01-01T00:00:00Z,490,Europe,Greece,-600
Q490,Milan,9.19,45.466944444,-0599-01-01T00:00:00Z,1354196,Europe,Italy,-599
Q23482,Marseille,5.376388888,43.296666666,-0599-01-01T00:00:00Z,873076,Europe,France,-599
Q13678,Agrigento,13.575,37.3125,-0579-01-01T00:00:00Z,55512,Europe,Italy,-579
Q6506,Varna,27.91108,43.211375,-0574-01-01T00:00:00Z,371226,Europe,Bulgaria,-574
Q2028,Verona,10.992777777,45.438611111,-0549-01-01T00:00:00Z,255588,Europe,Italy,-549
Q486195,Khiva,60.361111111,41.381388888,-0501-01-01T00:00:00Z,105300,Asia,Uzbekistan,-501
Q1013454,Julfa,45.630833333,38.955833333,-0501-01-01T00:00:00Z,12500,Asia,Azerbaijan,-501
Q10509,Elche,-0.698333333,38.266944444,-0500-01-01T00:00:00Z,238293,Europe,Spain,-500
Q1353,Delhi,77.216666666,28.666666666,-0500-01-01T00:00:00Z,26495000,Asia,India,-500
Q1479,Bordeaux,-0.579444444,44.837777777,-0500-01-01T00:00:00Z,261804,Europe,France,-500
Q491879,Termez,67.278333333,37.224166666,-0497-01-01T00:00:00Z,136200,Asia,Uzbekistan,-497
