wikidata_item,city,longitude,latitude,date,population,continent,country
Q1770,Tallinn,24.745,59.437222222,http://www.wikidata.org/.well-known/genid/7d256e312efe38e67a8f347cbc6f8fbe,457572,Europe,Estonia
Q649,Moscow,37.617777777,55.755833333,http://www.wikidata.org/.well-known/genid/7ea35d4504b835fc37b90f06a6e522af,12455682,Europe,Russia
Q5384,Kirov,49.65,58.6,http://www.wikidata.org/.well-known/genid/ba71b31360f267961ee857a65663e26f,471754,,Russia
Q31487,Kraków,19.937222222,50.061388888,http://www.wikidata.org/.well-known/genid/e13f4d4bb2771085ee06fb718122c734,804237,Europe,Poland
Q985531,Tulkarm,35.030833333,32.311111111,-45000-01-01T00:00:00Z,89759,,State of Palestine
Q5687,Jericho,35.463055555,31.856111111,-9600-01-01T00:00:00Z,23220,,State of Palestine
Q1524,Athens,23.728055555,37.984166666,-7000-01-01T00:00:00Z,643452,Europe,Greece
Q41183,Aleppo,37.16,36.2,-5000-01-01T00:00:00Z,2003671,,Syria
Q11360899,Anantnag,75.15,33.73,-5000-01-01T00:00:00Z,108505,,India
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Israel
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Jordan
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Byzantine Empire
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Ottoman Empire
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Judah
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Kingdom of Jerusalem
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Ayyubid dynasty
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Mandatory Palestine
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Mamluk Sultanate
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Hasmonean dynasty
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Occupied Enemy Territory Administration
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,early Islamic period in Palestine
Q1218,Jerusalem,35.225555555,31.778888888,-4000-01-01T00:00:00Z,936425,Asia,Roman Palestine
Q180522,Aqaba,35.0,29.516666666,-3999-01-01T00:00:00Z,140000,,Jordan
Q152368,Beit She'an,35.498888888,32.496111111,-3999-01-01T00:00:00Z,18200,,Israel
Q75621,Salamiyah,37.053055555,35.011111111,-3499-01-01T00:00:00Z,110683,,Syria
Q68286,Horgen,8.5975,47.260833333,-3399-01-01T00:00:00Z,23319,Europe,Switzerland
Q29962,Asyut,31.171388888,27.186944444,-3099-01-01T00:00:00Z,389307,,Egypt
Q460736,Amedi,43.487,37.0919,-3000-01-01T00:00:00Z,11000,,Iraq
Q926426,Kozan,35.812347222,37.4507,-2999-01-01T00:00:00Z,130495,,Turkey
